pathway_a,pathway_b,partial_corr_subtype,p_value_subtype,jaccard_subtype,FDR_subtype,weight_subtype,partial_corr_global,p_value_global,FDR_global,jaccard_global,weight_global,delta_partial_corr,delta_weight,abs_delta_weight,subtype,rewiring_direction
HALLMARK_ADIPOGENESIS,HALLMARK_ALLOGRAFT_REJECTION,0.1065543685942102,0.011264714197773815,0.0025062656641604,0.036029438361025914,0.0545303171291853,0.06585294636101746,0.029405678829142662,0.060237385561370836,0.0025062656641604,0.03417960601258893,0.040701422233192744,0.020350711116596372,0.020350711116596372,LumA,Strengthened
HALLMARK_ADIPOGENESIS,HALLMARK_ANDROGEN_RESPONSE,-0.11249774956905279,0.007436885857110517,0.0066889632107023,0.02595494351840565,0.05959335638987754,-0.19214306151322336,1.476422395424957e-10,1.790710331084725e-09,0.0066889632107023,0.09941601236196283,0.07964531194417057,-0.03982265597208529,0.03982265597208529,LumA,Weakened
HALLMARK_ADIPOGENESIS,HALLMARK_ANGIOGENESIS,0.13770432628759305,0.001032230181895177,0.0042553191489361,0.004958752834594477,0.07097982271826457,0.06110453356830393,0.04331587305957398,0.0834307303427329,0.0042553191489361,0.032679926358620014,0.07659979271928913,0.03829989635964456,0.03829989635964456,LumA,Strengthened
HALLMARK_ADIPOGENESIS,HALLMARK_APICAL_JUNCTION,-0.0147432596545524,0.7265742262894767,0.0050251256281407,0.8373033181604976,0.00988419264134655,-0.022807747183995725,0.4510791371990384,0.5498228289242011,0.0050251256281407,0.013916436406068213,0.008064487529443325,-0.004032243764721662,0.004032243764721662,LumA,Weakened
HALLMARK_ADIPOGENESIS,HALLMARK_APICAL_SURFACE,-0.03579019244896218,0.39581943576162987,0.0041152263374485,0.5528834764059254,0.01995270939320534,0.00021203112494133696,0.9944108209199807,0.9968520913477712,0.0041152263374485,0.0021636287311949188,-0.036002223573903515,0.01778908066201042,0.01778908066201042,LumA,Strengthened
HALLMARK_ADIPOGENESIS,HALLMARK_APOPTOSIS,-0.08793616945784824,0.0366502209088363,0.019774011299435,0.08979304122664894,0.05385509037864162,-0.1066090436545697,0.0004121096169762532,0.0015391289048655799,0.019774011299435,0.06319152747700235,0.018672874196721465,-0.009336437098360732,0.009336437098360732,LumA,Weakened
HALLMARK_ADIPOGENESIS,HALLMARK_BILE_ACID_METABOLISM,-0.015482191856733,0.713459021835889,0.0297029702970297,0.8276394902925797,0.02259258107688135,-0.051013534321742195,0.09170413945842278,0.15430985005023062,0.0297029702970297,0.040358252309385945,0.03553134246500919,-0.017765671232504596,0.017765671232504596,LumA,Weakened
HALLMARK_ADIPOGENESIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.26771681203124403,9.937887909713278e-11,0.0148148148148148,2.2544282758145863e-09,0.1412658134230294,0.20949195904422246,2.578525906340687e-12,4.0496079939324895e-11,0.0148148148148148,0.11215338692951864,0.05822485298702157,0.02911242649351077,0.02911242649351077,LumA,Strengthened
HALLMARK_ADIPOGENESIS,HALLMARK_COAGULATION,0.04569040790846566,0.2782718463934293,0.0029673590504451,0.43479975998973325,0.02432888347945538,0.028529766833462547,0.3458065885328978,0.4477939439247355,0.0029673590504451,0.015748562941953825,0.017160641075003112,0.008580320537501556,0.008580320537501556,LumA,Strengthened
HALLMARK_ADIPOGENESIS,HALLMARK_COMPLEMENT,0.03203953170691096,0.4472070572057448,0.0101010101010101,0.6033355121993803,0.021070270903960533,0.07307535892740777,0.015628134010204558,0.03574847041820816,0.0101010101010101,0.04158818451420893,-0.041035827220496805,-0.0205179136102484,0.0205179136102484,LumA,Weakened
